Size,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort,Radix Sort
10,8.193019311875105e-06,4.785950295627117e-06,1.2524949852377176e-05,6.7810178734362125e-06,2.0296021830290556e-05
110,0.0005741050117649138,0.00024686200777068734,0.0002049300237558782,8.948100730776787e-05,0.0001296530244871974
210,0.002031901036389172,0.000878499005921185,0.0004276129766367376,0.00018643296789377928,0.00024193298304453492
310,0.004745041020214558,0.002107361040543765,0.0006772049819119275,0.0002965040039271116,0.0003750320174731314
410,0.008974288997706026,0.003951469960156828,0.0009224700042977929,0.0004287229967303574,0.0005333709996193647
510,0.014990861003752798,0.007308937958441675,0.001150451018474996,0.0006026499904692173,0.0006865360192023218
610,0.021821342001203448,0.009546588989906013,0.0014557749964296818,0.0007645910372957587,0.0008317400352098048
710,0.030693840002641082,0.013415699009783566,0.0017294349963776767,0.0008827449637465179,0.0009651600266806781
810,0.04188466496998444,0.017707526974845678,0.0020227169734425843,0.0010439010220579803,0.0011062570265494287
910,0.05286395800067112,0.02268195297801867,0.002277060004416853,0.0011968939797952771,0.0012511229724623263
1010,0.06518617598339915,0.028613386035431176,0.0025324980379082263,0.0013696730020456016,0.0013864439679309726
