Size,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort,Radix Sort
1000,0.06549022597027943,0.028634389978833497,0.0025124020176008344,0.0013849340029992163,0.0014265479985624552
2000,0.2782952979905531,0.1184000899665989,0.005438463995233178,0.003230078029446304,0.002817564003635198
3000,0.6403893679962493,0.27127038303297013,0.008838700014166534,0.005108047043904662,0.004422783968038857
4000,1.1570945420535281,0.4883376840152778,0.011793348006904125,0.007099889044184238,0.005985347030218691
5000,1.8020072070066817,0.9302126340335235,0.01521072001196444,0.008972558018285781,0.007522747968323529
6000,2.647088716039434,1.322251592995599,0.018583807977847755,0.011202322028111666,0.008963689964730293
7000,3.61483513598796,1.519799267000053,0.02214627299690619,0.012372564000543207,0.010441065998747945
8000,4.728432781994343,2.0092662170063704,0.025365117006003857,0.014984818000812083,0.011895779985934496
9000,6.027060581021942,2.531301150971558,0.029844823002349585,0.01731216296320781,0.014348191965837032
10000,7.342828422028106,3.112655528995674,0.033399920037481934,0.019553071004338562,0.014957760984543711
