Size,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort,Radix Sort
10,3.900029696524143e-06,2.300017513334751e-06,8.300004992634058e-06,3.3999676816165447e-06,1.580000389367342e-05
110,0.0004268999909982085,0.0001900999923236668,0.0001433999859727919,5.9999991208314896e-05,0.00011560000712051988
210,0.0015140000032261014,0.0007563999970443547,0.0003013999667018652,0.00012859998969361186,0.00021460000425577164
310,0.0034425000194460154,0.0016840000171214342,0.0004703000304289162,0.0002014999627135694,0.00032329995883628726
410,0.006243199983146042,0.0031077999738045037,0.0006393000367097557,0.0003060000017285347,0.0004490999854169786
510,0.009666599973570555,0.004697999975178391,0.0008173999958671629,0.0003868999774567783,0.0005632999818772078
610,0.01458489999640733,0.007080999959725887,0.0010476000024937093,0.0004901000065729022,0.0006784999859519303
710,0.0200565000413917,0.009695100015960634,0.0012352000339888036,0.0005664000054821372,0.0007786999922245741
810,0.026450200006365776,0.012474599992856383,0.0014643000322394073,0.0006850000354461372,0.000895500008482486
910,0.03357319999486208,0.016026900033466518,0.001638099958654493,0.0007697000401094556,0.0010088999988511205
1010,0.04233870003372431,0.020590099971741438,0.0018437000107951462,0.0008549999911338091,0.0011060999822802842
